nombre,precio,enlace
Pastillas Goma Forma Anillos Arcor Paq 1000 Grm," $9.477,81 ",https://www.cotodigital.com.ar/sitios/cdigi/productos/pastillas-goma-forma-anillos-arcor-paq-1000-grm/_/R-00194155-00194155-200%3F
Alfajor TERRABUSI Triple Torta 70g," $980,00 ",https://www.cotodigital.com.ar/sitios/cdigi/productos/alfajor-terrabusi-triple-torta-70g/_/R-00140105-00140105-200%3F
Alfajor De Maizena CACHAFAZ 6u," $5.887,50 ",https://www.cotodigital.com.ar/sitios/cdigi/productos/alfajor-de-maizena-cachafaz-6u/_/R-00212840-00212840-200%3F
Confites De Chocolate ROCKLETS 40g," $1.110,06 ",https://www.cotodigital.com.ar/sitios/cdigi/productos/confites-de-chocolate-rocklets-40g/_/R-00134868-00134868-200%3F
Confites ROCKLETS Lentejas 150g," $3.731,52 ",https://www.cotodigital.com.ar/sitios/cdigi/productos/confites-rocklets-lentejas-150g/_/R-00283559-00283559-200%3F
Confites Mini ROCKLETS 150g," $3.731,52 ",https://www.cotodigital.com.ar/sitios/cdigi/productos/confites-mini-rocklets-150g/_/R-00464851-00464851-200%3F
Bombones Blanco BON O BON  270g," $4.656,50 ",https://www.cotodigital.com.ar/sitios/cdigi/productos/bombones-blanco-bon-o-bon-270g/_/R-00118727-00118727-200%3F
Bombon BON O BON Blanco X 1 Unidad," $437,96 ",https://www.cotodigital.com.ar/sitios/cdigi/productos/bombon-bon-o-bon-blanco-x-1-unidad/_/R-00118609-00118609-200%3F
Bombón BON O BON 1u," $437,96 ",https://www.cotodigital.com.ar/sitios/cdigi/productos/bomb%C3%B3n-bon-o-bon-1u/_/R-00118608-00118608-200%3F
Chocolate MILKA Oreo Blanco 20g," $795,00 ",https://www.cotodigital.com.ar/sitios/cdigi/productos/chocolate-milka-oreo-blanco-20g/_/R-00140302-00140302-200%3F
Caramelo Mogul Frutilla Y Crema Bsa 500 Grm," $5.950,30 ",https://www.cotodigital.com.ar/sitios/cdigi/productos/caramelo-mogul-frutilla-y-crema-bsa-500-grm/_/R-00286541-00286541-200%3F
Caramelos Frutigelatin MOGUL Paq 500 Grm," $5.950,30 ",https://www.cotodigital.com.ar/sitios/cdigi/productos/caramelos-frutigelatin-mogul-paq-500-grm/_/R-00200618-00200618-200%3F
Caramelos MOGUL Gusanito MOGUL Paq 500 Grm," $5.950,30 ",https://www.cotodigital.com.ar/sitios/cdigi/productos/caramelos-mogul-gusanito-mogul-paq-500-grm/_/R-00201438-00201438-200%3F
Gomitas Extreme Acido MOGUL Fwp 35 Grm," $473,36 ",https://www.cotodigital.com.ar/sitios/cdigi/productos/gomitas-extreme-acido-mogul-fwp-35-grm/_/R-00478316-00478316-200%3F
Gomitas Mogul Frutales Paq 12 Grm," $473,36 ",https://www.cotodigital.com.ar/sitios/cdigi/productos/gomitas-mogul-frutales-paq-12-grm/_/R-00163570-00163570-200%3F
Bombon Fruta Arcor Pot 500 Grm," $5.369,60 ",https://www.cotodigital.com.ar/sitios/cdigi/productos/bombon-fruta-arcor-pot-500-grm/_/R-00013667-00013667-200%3F
Gomitas Extreme Acido MOGUL Bsa 200 Grm," $2.068,10 ",https://www.cotodigital.com.ar/sitios/cdigi/productos/gomitas-extreme-acido-mogul-bsa-200-grm/_/R-00471486-00471486-200%3F
Caramelos Arcor Frutigelatin Dientes Paq 500 Grm," $5.950,30 ",https://www.cotodigital.com.ar/sitios/cdigi/productos/caramelos-arcor-frutigelatin-dientes-paq-500-grm/_/R-00194154-00194154-200%3F
Gomitas Tiburoncitos Frutti Gelatin Bol 30 Grm," $500,03 ",https://www.cotodigital.com.ar/sitios/cdigi/productos/gomitas-tiburoncitos-frutti-gelatin-bol-30-grm/_/R-00134863-00134863-200%3F
Gomitas Frut/Gel Frutigelati Bsa 30 Grm," $500,03 ",https://www.cotodigital.com.ar/sitios/cdigi/productos/gomitas-frut-gel-frutigelati-bsa-30-grm/_/R-00184765-00184765-200%3F
Gomitas Ositos Mogul Paq 30 Grm," $465,36 ",https://www.cotodigital.com.ar/sitios/cdigi/productos/gomitas-ositos-mogul-paq-30-grm/_/R-00216569-00216569-200%3F
Chicles 7 Ultra Green TOPLINE Est 24 Grm," $1.532,74 ",https://www.cotodigital.com.ar/sitios/cdigi/productos/chicles-7-ultra-green-topline-est-24-grm/_/R-00474143-00474143-200%3F
Chicles 7 Ultra Red Be Topline Est 24 Grm," $1.532,74 ",https://www.cotodigital.com.ar/sitios/cdigi/productos/chicles-7-ultra-red-be-topline-est-24-grm/_/R-00072906-00072906-200%3F
Chicles 7 Ultra Clean TOPLINE Est 24 Grm," $1.532,74 ",https://www.cotodigital.com.ar/sitios/cdigi/productos/chicles-7-ultra-clean-topline-est-24-grm/_/R-00474144-00474144-200%3F
